,City,Country,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed,Pressure,Date,dt
0,Biak,ID,-0.9131,122.8766,51,82,76.84,0.67,1010,2021-10-16,1634417397
1,Moose Factory,CA,51.2585,-80.6094,75,71,55.4,0.0,1001,2021-10-16,1634417398
2,Butaritari,KI,3.0707,172.7902,33,70,81.5,15.48,1013,2021-10-16,1634417398
3,Vaini,TO,-21.2,-175.2,75,83,77.16,9.22,1019,2021-10-16,1634417398
4,Rikitea,PF,-23.1203,-134.9692,19,79,75.16,10.2,1022,2021-10-16,1634417399
5,Arraial do Cabo,BR,-22.9661,-42.0278,75,88,76.96,3.44,1013,2021-10-16,1634417399
6,Norman Wells,CA,65.282,-126.8329,75,86,28.44,14.97,1012,2021-10-16,1634417399
7,New Norfolk,AU,-42.7826,147.0587,96,70,48.88,1.99,1008,2021-10-16,1634417400
8,Albany,US,42.6001,-73.9662,70,90,75.15,6.69,1001,2021-10-16,1634417226
9,Dikson,RU,73.5069,80.5464,100,98,30.76,12.1,1002,2021-10-16,1634417400
10,Mataura,NZ,-46.1927,168.8643,28,57,55.35,4.85,996,2021-10-16,1634417401
11,Busselton,AU,-33.65,115.3333,100,72,59.04,5.77,1009,2021-10-16,1634417401
12,Chokurdakh,RU,70.6333,147.9167,97,100,-6.07,4.0,1025,2021-10-16,1634417401
13,Natchez,US,31.5604,-91.4032,1,29,73.26,12.66,1022,2021-10-16,1634417402
14,Oktyabr'skiy,RU,54.4815,53.471,53,58,38.82,5.97,1022,2021-10-16,1634417403
15,Provideniya,RU,64.3833,-173.3,100,89,29.1,19.19,1004,2021-10-16,1634417404
16,Nikolskoye,RU,59.7035,30.7861,100,72,43.88,11.72,1000,2021-10-16,1634417404
17,Port Macquarie,AU,-31.4333,152.9167,3,76,63.37,8.05,1013,2021-10-16,1634417405
18,Gisborne,NZ,-38.6533,178.0042,100,55,61.95,8.81,1021,2021-10-16,1634417406
19,Mt. Pleasant,US,32.7941,-79.8626,20,76,88.09,4.0,1009,2021-10-16,1634417406
20,Hasaki,JP,35.7333,140.8333,50,86,68.4,10.18,1007,2021-10-16,1634417407
21,Ahipara,NZ,-35.1667,173.1667,100,83,61.84,15.93,1019,2021-10-16,1634417407
22,Clyde River,CA,70.4692,-68.5914,75,100,28.63,8.05,1026,2021-10-16,1634417276
23,Souillac,MU,-20.5167,57.5167,40,68,73.78,13.8,1020,2021-10-16,1634417407
24,Hilo,US,19.7297,-155.09,90,85,77.11,4.61,1019,2021-10-16,1634417408
25,Punta Arenas,CL,-53.15,-70.9167,40,53,44.71,28.77,1005,2021-10-16,1634417408
26,Mehamn,NO,71.0357,27.8492,100,97,37.81,27.0,991,2021-10-16,1634417408
27,Coquimbo,CL,-29.9533,-71.3436,0,63,62.33,14.97,1019,2021-10-16,1634417336
28,Port Elizabeth,ZA,-33.918,25.5701,75,71,55.69,16.11,1019,2021-10-16,1634417325
29,Alyangula,AU,-13.8483,136.4192,93,100,71.47,3.44,1009,2021-10-16,1634417409
30,Piaçabuçu,BR,-10.4056,-36.4344,98,84,77.36,10.33,1014,2021-10-16,1634417409
31,De-Kastri,RU,51.4667,140.7833,100,94,33.31,24.52,992,2021-10-16,1634417410
32,Saldanha,ZA,-33.0117,17.9442,85,56,55.45,14.99,1024,2021-10-16,1634417411
33,Gamba,GA,-2.65,10.0,96,86,76.91,6.98,1013,2021-10-16,1634417411
34,Andenes,NO,69.3143,16.1194,40,81,39.18,13.8,996,2021-10-16,1634417411
35,Badiraguato,MX,25.3667,-107.5167,98,41,93.7,4.9,1011,2021-10-16,1634417411
36,Upernavik,GL,72.7868,-56.1549,40,52,20.5,6.17,1029,2021-10-16,1634417412
37,Hermanus,ZA,-34.4187,19.2345,100,67,53.91,14.63,1023,2021-10-16,1634417412
38,Ponta do Sol,PT,32.6667,-17.1,74,60,73.71,4.05,1020,2021-10-16,1634417413
39,Cape Town,ZA,-33.9258,18.4232,20,60,54.12,1.01,1024,2021-10-16,1634417376
40,Ozernovskiy,RU,51.5,156.5167,39,62,37.9,4.52,1014,2021-10-16,1634417413
41,Husavik,IS,66.0449,-17.3389,96,79,33.71,5.26,1020,2021-10-16,1634417413
42,East London,ZA,-33.0153,27.9116,22,62,58.53,23.69,1019,2021-10-16,1634417414
43,George Town,MY,5.4112,100.3354,20,87,81.9,3.0,1007,2021-10-16,1634417414
44,Cidreira,BR,-30.1811,-50.2056,100,78,62.2,13.13,1020,2021-10-16,1634417414
45,Klaksvík,FO,62.2266,-6.589,99,64,41.92,6.46,1015,2021-10-16,1634417414
46,Abnūb,EG,27.2696,31.1511,4,18,81.37,9.37,1015,2021-10-16,1634417415
47,Cabo San Lucas,MX,22.8909,-109.9124,22,66,91.62,4.29,1012,2021-10-16,1634417415
48,Avarua,CK,-21.2078,-159.775,75,78,80.65,11.5,1017,2021-10-16,1634417415
49,Khatanga,RU,71.9667,102.5,100,94,14.99,7.54,1017,2021-10-16,1634417416
50,Bengkulu,ID,-3.8004,102.2655,100,86,76.89,4.0,1008,2021-10-16,1634417416
51,Kapaa,US,22.0752,-159.319,20,74,81.19,4.0,1020,2021-10-16,1634417416
52,Faya,SA,18.3851,42.4509,10,21,66.31,6.62,1016,2021-10-16,1634417417
53,Lebu,CL,-37.6167,-73.65,100,76,54.16,14.56,1026,2021-10-16,1634417289
54,Lompoc,US,34.6391,-120.4579,1,10,88.79,9.22,1014,2021-10-16,1634417417
55,Celestún,MX,20.8667,-90.4,98,68,84.29,12.26,1012,2021-10-16,1634417417
56,Chālūs,IR,36.655,51.4204,75,82,65.66,0.0,1013,2021-10-16,1634417418
57,Mount Gambier,AU,-37.8333,140.7667,90,100,46.31,4.61,1014,2021-10-16,1634417418
58,Sakaiminato,JP,35.55,133.2333,75,82,62.58,13.8,1015,2021-10-16,1634417418
59,Grand Gaube,MU,-20.0064,57.6608,39,76,73.8,8.01,1019,2021-10-16,1634417419
60,At-Bashi,KG,41.1702,75.8106,67,43,38.66,3.29,1023,2021-10-16,1634417419
61,Cayenne,GF,4.9333,-52.3333,97,80,86.04,4.0,1010,2021-10-16,1634417419
62,Katima Mulilo,NA,-17.5,24.2667,48,14,78.42,2.98,1005,2021-10-16,1634417420
63,Olafsvik,IS,64.8945,-23.7142,100,72,37.71,18.61,1015,2021-10-16,1634417420
64,Ushuaia,AR,-54.8,-68.3,40,75,35.26,32.21,999,2021-10-16,1634417420
65,Chui,UY,-33.6971,-53.4616,25,61,55.49,8.05,1023,2021-10-16,1634417421
66,Tigzirt,DZ,36.8886,4.1198,48,57,65.64,3.85,1018,2021-10-16,1634417421
67,Dunedin,NZ,-45.8742,170.5036,100,75,53.8,14.0,995,2021-10-16,1634417421
68,Hithadhoo,MV,-0.6,73.0833,95,69,82.85,18.34,1007,2021-10-16,1634417422
69,Saskylakh,RU,71.9167,114.0833,98,99,-0.99,5.3,1019,2021-10-16,1634417422
70,Laguna,US,38.421,-121.4238,1,25,85.87,1.99,1015,2021-10-16,1634417422
71,Bereda,ES,43.2686,-7.5406,100,94,61.0,4.03,1017,2021-10-16,1634417422
72,Talnakh,RU,69.4865,88.3972,100,95,28.63,15.41,1013,2021-10-16,1634417423
73,Barrow,US,71.2906,-156.7887,90,79,21.22,12.66,1012,2021-10-16,1634417423
74,Léo,BF,11.1,-2.1,60,34,82.94,5.1,1010,2021-10-16,1634417423
75,Jamestown,US,42.097,-79.2353,75,67,57.02,8.01,1008,2021-10-16,1634417424
76,Hornepayne,CA,49.2138,-84.7705,100,82,44.28,8.68,1006,2021-10-16,1634417424
77,Kidal,ML,18.4411,1.4078,6,10,87.39,10.38,1012,2021-10-16,1634417424
78,Jiuquan,CN,39.7432,98.5174,0,37,38.3,6.8,1023,2021-10-16,1634417425
79,Balāngīr,IN,20.7167,83.4833,99,93,75.76,3.56,1003,2021-10-16,1634417425
80,Hofn,IS,64.2539,-15.2082,100,73,35.78,11.59,1018,2021-10-16,1634417425
81,Vilhena,BR,-12.7406,-60.1458,75,83,77.22,3.44,1013,2021-10-16,1634417426
82,Grindavik,IS,63.8424,-22.4338,75,87,39.15,10.36,1013,2021-10-16,1634417426
83,Kahului,US,20.8947,-156.47,40,77,78.82,17.27,1018,2021-10-16,1634417427
84,Yerbogachën,RU,61.2767,108.0108,38,86,21.96,8.1,1023,2021-10-16,1634417427
85,Castro,BR,-24.7911,-50.0119,91,77,69.22,2.89,1013,2021-10-16,1634417427
86,Raahe,FI,64.6833,24.4833,100,97,39.29,22.97,985,2021-10-16,1634417428
87,Tessalit,ML,20.1986,1.0114,0,10,86.52,9.51,1012,2021-10-16,1634417428
88,Muisne,EC,0.6,-80.0333,71,77,80.71,9.78,1010,2021-10-16,1634417428
89,Manzhouli,CN,49.6,117.4333,74,81,20.79,6.04,1022,2021-10-16,1634417429
90,Kysyl-Syr,RU,63.8986,122.7617,42,95,9.77,3.44,1019,2021-10-16,1634417429
91,Narsaq,GL,60.9167,-46.05,15,56,36.27,5.48,1015,2021-10-16,1634417429
92,Arona,ES,28.0996,-16.681,0,81,71.53,2.3,1016,2021-10-16,1634417430
93,Lavrentiya,RU,65.5833,-171.0,82,89,28.18,15.12,1008,2021-10-16,1634417430
94,Sur,OM,22.5667,59.5289,0,65,79.88,3.65,1007,2021-10-16,1634417430
95,Koshurnikovo,RU,54.1667,93.3,2,85,24.89,3.24,1030,2021-10-16,1634417431
96,Faanui,PF,-16.4833,-151.75,94,70,80.56,19.8,1016,2021-10-16,1634417431
97,Tigil',RU,57.8,158.6667,76,91,24.55,5.5,1013,2021-10-16,1634417431
98,Mahébourg,MU,-20.4081,57.7,40,68,73.69,13.8,1020,2021-10-16,1634417431
99,Sakhipur,BD,24.3,90.1833,100,91,82.27,4.41,1005,2021-10-16,1634417432
100,Peniche,PT,39.3558,-9.3811,100,93,67.08,4.83,1018,2021-10-16,1634417432
101,Belokurikha,RU,51.9959,84.9896,72,64,40.05,4.52,1025,2021-10-16,1634417432
102,Mar del Plata,AR,-38.0023,-57.5575,0,30,68.02,16.11,1018,2021-10-16,1634417433
103,Phan Thiet,VN,10.9333,108.1,100,87,76.35,5.73,1007,2021-10-16,1634417399
104,Tuktoyaktuk,CA,69.4541,-133.0374,90,86,26.6,2.3,1015,2021-10-16,1634417433
105,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,0,41,36.19,13.42,1011,2021-10-16,1634417433
106,Palmer,US,42.1584,-72.3287,6,63,74.28,3.0,1003,2021-10-16,1634417434
107,Santa Rosa,PH,14.3122,121.1114,77,89,80.58,4.14,1010,2021-10-16,1634417434
108,Hobart,AU,-42.8794,147.3294,75,80,49.23,5.75,1005,2021-10-16,1634417248
109,Yuci,CN,37.6803,112.7319,0,80,31.75,2.24,1033,2021-10-16,1634417434
110,Hong Kong,HK,22.2855,114.1577,50,79,75.33,8.99,1019,2021-10-16,1634417408
111,Kruisfontein,ZA,-34.0033,24.7314,100,60,51.89,19.48,1020,2021-10-16,1634417435
112,Cherskiy,RU,68.75,161.3,71,100,-16.04,4.07,1020,2021-10-16,1634417435
113,Matara,LK,5.9485,80.5353,92,87,78.31,14.34,1006,2021-10-16,1634417435
114,Puerto Ayora,EC,-0.7393,-90.3518,95,85,78.76,8.01,1012,2021-10-16,1634417436
115,Longyearbyen,SJ,78.2186,15.6401,75,54,24.64,10.36,1017,2021-10-16,1634417316
116,Thoen,TH,17.6129,99.2161,100,99,73.09,1.52,1011,2021-10-16,1634417436
117,Kavieng,PG,-2.5744,150.7967,77,69,83.95,13.04,1012,2021-10-16,1634417436
118,Vanimo,PG,-2.6741,141.3028,83,89,78.1,5.01,1012,2021-10-16,1634417437
119,Haines Junction,CA,60.7522,-137.5108,16,69,28.35,1.14,1015,2021-10-16,1634417437
120,Caculé,BR,-14.5033,-42.2222,100,38,82.31,3.91,1012,2021-10-16,1634417437
121,Falmouth,GB,50.1544,-5.0711,20,100,56.79,6.91,1016,2021-10-16,1634417438
122,Klyuchi,RU,52.2667,79.1667,24,63,37.62,3.09,1025,2021-10-16,1634417438
123,Bocaiúva,BR,-17.1078,-43.815,98,58,85.71,5.48,1012,2021-10-16,1634417438
124,Port Hardy,CA,50.6996,-127.4199,90,100,48.38,3.44,1008,2021-10-16,1634417439
125,Beloha,MG,-25.1667,45.05,1,66,72.7,7.16,1012,2021-10-16,1634417439
126,Tiksi,RU,71.6872,128.8694,91,92,7.92,5.66,1020,2021-10-16,1634417439
127,Mayo,US,38.8876,-76.5119,90,88,66.94,15.01,1001,2021-10-16,1634417440
128,North Platte,US,41.1239,-100.7654,1,30,68.02,5.99,1024,2021-10-16,1634417430
129,Lakeway,US,30.3638,-97.9796,46,34,74.75,1.01,1025,2021-10-16,1634417440
130,Malinovoye Ozero,RU,51.6753,79.7825,41,65,38.59,3.27,1025,2021-10-16,1634417440
131,Saint Paul Harbor,US,57.79,-152.4072,1,49,42.31,3.44,1013,2021-10-16,1634417441
132,Alice Springs,AU,-23.7,133.8833,2,34,62.15,4.61,1014,2021-10-16,1634417441
133,Great Yarmouth,GB,52.6083,1.7305,100,83,55.24,10.49,1019,2021-10-16,1634417441
134,Tsaratanana,MG,-16.7833,47.65,0,67,68.74,10.63,1016,2021-10-16,1634417442
135,Tilichiki,RU,60.4667,166.1,100,70,15.26,10.89,1004,2021-10-16,1634417442
136,Beringovskiy,RU,63.05,179.3167,100,75,33.24,32.57,999,2021-10-16,1634417442
137,Kang,BW,-23.6752,22.7876,0,16,62.51,17.13,1014,2021-10-16,1634417443
138,Codrington,AU,-38.2667,141.9667,100,88,50.68,6.49,1015,2021-10-16,1634417443
139,Atuona,PF,-9.8,-139.0333,23,78,77.83,18.97,1015,2021-10-16,1634417443
140,Puerto del Rosario,ES,28.5004,-13.8627,20,88,73.15,8.05,1017,2021-10-16,1634417443
141,Morondava,MG,-20.2833,44.2833,0,84,76.1,4.43,1014,2021-10-16,1634417444
142,Port Alfred,ZA,-33.5906,26.891,38,57,58.51,26.8,1019,2021-10-16,1634417444
143,Puerto Escondido,MX,15.85,-97.0667,18,66,86.18,6.02,1010,2021-10-16,1634417444
144,Camacha,PT,33.0833,-16.3333,20,78,67.42,6.91,1019,2021-10-16,1634417445
145,Esim,GH,4.8699,-2.2405,5,85,79.5,9.46,1012,2021-10-16,1634417445
146,Yellowknife,CA,62.456,-114.3525,90,100,39.42,10.36,1007,2021-10-16,1634417163
147,Esperance,AU,-33.8667,121.9,0,88,55.24,8.19,1007,2021-10-16,1634417445
148,Okhotsk,RU,59.3833,143.3,12,74,15.21,9.06,1015,2021-10-16,1634417446
149,Ossora,RU,59.2353,163.0719,100,78,27.07,9.6,1006,2021-10-16,1634417446
150,Minzhu,CN,43.7286,127.3447,0,45,24.17,5.23,1029,2021-10-16,1634417446
151,Saint-Philippe,RE,-21.3585,55.7679,40,76,72.95,16.78,1021,2021-10-16,1634417447
152,Grand-Santi,GF,4.25,-54.3833,42,41,90.37,4.23,1008,2021-10-16,1634417447
153,Korla,CN,41.7597,86.1469,8,38,48.67,0.34,1022,2021-10-16,1634417447
154,Iqaluit,CA,63.7506,-68.5145,1,74,33.53,3.0,1023,2021-10-16,1634417448
155,Imbituba,BR,-28.24,-48.6703,97,88,69.69,11.27,1018,2021-10-16,1634417448
156,Bilibino,RU,68.0546,166.4372,25,99,-11.43,5.03,1022,2021-10-16,1634417448
157,Tornio,FI,65.8481,24.1466,100,97,35.62,14.45,985,2021-10-16,1634417449
158,Adrar,MR,20.5022,-10.0711,4,13,85.98,8.81,1013,2021-10-16,1634417449
159,Japura,ID,-0.3167,102.35,96,97,75.02,2.37,1007,2021-10-16,1634417449
160,Nanortalik,GL,60.1432,-45.2371,95,67,40.12,5.28,1015,2021-10-16,1634417450
161,Shenjiamen,CN,29.9576,122.298,100,68,63.55,27.78,1027,2021-10-16,1634417450
162,Hegang,CN,47.4,130.3667,0,48,23.85,10.69,1020,2021-10-16,1634417450
163,Cockburn Town,TC,21.4612,-71.1419,40,70,84.16,5.75,1012,2021-10-16,1634417451
164,Bredasdorp,ZA,-34.5322,20.0403,100,66,51.28,10.36,1022,2021-10-16,1634417451
165,Baní,DO,18.2833,-70.3333,85,75,90.84,4.97,1011,2021-10-16,1634417451
166,Kutum,SD,14.2,24.6667,3,20,79.56,7.74,1011,2021-10-16,1634417452
167,Atambua,ID,-9.1061,124.8925,6,86,75.2,1.34,1010,2021-10-16,1634417452
168,Davila,PH,18.4726,120.5763,68,82,79.61,15.1,1011,2021-10-16,1634417452
169,Qaanaaq,GL,77.484,-69.3632,100,83,20.84,9.91,1031,2021-10-16,1634417452
170,Harper,LR,4.375,-7.7169,21,84,78.82,6.55,1012,2021-10-16,1634417453
171,Namatanai,PG,-3.6667,152.4333,31,73,82.83,9.86,1012,2021-10-16,1634417453
172,Tuatapere,NZ,-46.1333,167.6833,75,72,54.88,5.79,995,2021-10-16,1634417453
173,Bilma,NE,18.6853,12.9164,99,32,86.05,5.08,1013,2021-10-16,1634417454
174,Conde,BR,-7.2597,-34.9075,90,94,76.46,11.5,1013,2021-10-16,1634417454
175,Samokov,BG,42.3333,23.55,100,96,45.75,2.1,1019,2021-10-16,1634417454
176,Alofi,NU,-19.0595,-169.9187,38,71,77.88,12.53,1018,2021-10-16,1634417455
177,Santa Cruz de la Sierra,BO,-17.8,-63.1667,75,46,75.25,8.05,1014,2021-10-16,1634417417
178,Bluff,NZ,-46.6,168.3333,87,63,54.84,12.1,995,2021-10-16,1634417455
179,Peleduy,RU,59.6289,112.7406,100,97,30.49,5.55,1017,2021-10-16,1634417456
180,Kamennogorsk,RU,60.9545,29.1339,85,76,41.85,11.83,996,2021-10-16,1634417456
181,Carballo,ES,43.213,-8.691,100,88,64.54,8.97,1015,2021-10-16,1634417456
182,Perelyub,RU,51.8667,50.3667,34,59,45.09,5.91,1021,2021-10-16,1634417457
183,Vigrestad,NO,58.5667,5.7,85,75,46.99,12.33,1012,2021-10-16,1634417457
184,Kiunga,PG,-6.1219,141.2906,100,99,73.74,1.21,1011,2021-10-16,1634417457
185,Zelenogorsk,RU,56.1147,94.5861,13,69,31.08,1.19,1030,2021-10-16,1634417457
186,Albania,AL,41.0,20.0,95,78,54.79,1.12,1017,2021-10-16,1634417193
187,Quebo,GW,11.3333,-14.9333,3,90,77.18,4.5,1012,2021-10-16,1634417458
188,Santa Cruz del Sur,CU,20.7147,-77.9956,11,72,82.72,3.85,1011,2021-10-16,1634417458
189,Clifton,US,40.8584,-74.1638,75,73,80.64,1.01,1002,2021-10-16,1634417458
190,Sarāhan,IN,31.5167,77.8,0,38,55.15,5.97,1018,2021-10-16,1634417459
191,Road Town,VG,18.4167,-64.6167,20,74,87.84,2.15,1011,2021-10-16,1634417459
192,Pevek,RU,69.7008,170.3133,97,86,8.08,3.33,1019,2021-10-16,1634417459
193,Ribeira Grande,PT,38.5167,-28.7,75,94,70.2,36.82,1004,2021-10-16,1634417460
194,Mandeville,JM,18.0417,-77.5071,88,75,71.65,2.93,1012,2021-10-16,1634417460
195,San Patricio,US,28.017,-97.5169,20,34,78.66,14.79,1023,2021-10-16,1634417461
196,Guiglo,CI,6.5456,-7.4966,14,96,72.12,3.67,1013,2021-10-16,1634417461
197,Sangar,RU,63.9242,127.4739,94,92,9.19,3.13,1020,2021-10-16,1634417462
198,Funadhoo,MV,6.15,73.2667,100,78,81.93,23.42,1006,2021-10-16,1634417462
199,Langham,CA,52.3668,-106.9679,19,26,62.02,5.57,1011,2021-10-16,1634417463
200,Tibati,CM,6.4667,12.6333,100,96,67.87,3.11,1013,2021-10-16,1634417463
201,Constitución,CL,-35.3333,-72.4167,72,68,57.45,18.43,1022,2021-10-16,1634417463
202,Kuminskiy,RU,58.6667,66.5667,99,79,40.64,5.68,1018,2021-10-16,1634417464
203,São Filipe,CV,14.8961,-24.4956,100,77,79.47,10.89,1013,2021-10-16,1634417464
204,Yangi Marg`ilon,UZ,40.4272,71.7189,12,61,51.22,6.91,1019,2021-10-16,1634417464
205,Ixtapa,MX,20.7,-105.2,21,72,88.23,3.0,1009,2021-10-16,1634417465
206,Kandrian,PG,-6.2167,149.55,100,87,79.0,4.76,1012,2021-10-16,1634417465
207,Benguela,AO,-12.5763,13.4055,88,77,72.52,2.62,1013,2021-10-16,1634417465
208,Boyolangu,ID,-8.1181,111.8935,78,92,75.42,3.51,1010,2021-10-16,1634417465
209,Tateyama,JP,34.9833,139.8667,14,84,71.1,17.34,1007,2021-10-16,1634417466
210,Narwar,IN,25.65,77.9,16,55,75.61,3.74,1005,2021-10-16,1634417466
211,Nemuro,JP,43.3236,145.575,100,82,49.26,25.01,1004,2021-10-16,1634417466
212,Acarí,PE,-15.4311,-74.6158,100,63,72.18,9.26,1015,2021-10-16,1634417467
213,Havøysund,NO,70.9963,24.6622,100,75,38.28,26.46,993,2021-10-16,1634417467
214,Yelan',RU,50.949,43.7378,100,54,49.73,5.03,1019,2021-10-16,1634417467
215,Aasiaat,GL,68.7098,-52.8699,3,66,18.21,12.91,1025,2021-10-16,1634417468
216,Sofia,BG,42.6975,23.3242,90,91,50.34,7.0,1019,2021-10-16,1634417244
217,Thompson,CA,55.7435,-97.8558,20,66,48.36,11.5,1006,2021-10-16,1634417468
218,Yar-Sale,RU,66.8333,70.8333,100,92,39.4,15.35,1004,2021-10-16,1634417469
219,Novikovo,RU,51.1537,37.8879,100,50,51.62,3.49,1018,2021-10-16,1634417469
220,Mineros,BO,-17.1167,-63.2333,100,50,74.79,5.66,1014,2021-10-16,1634417469
221,Port Hedland,AU,-20.3167,118.5667,40,83,73.45,9.22,1008,2021-10-16,1634417470
222,Emba,KZ,48.8264,58.1442,97,41,50.13,5.61,1025,2021-10-16,1634417470
223,Viedma,AR,-40.8135,-62.9967,7,32,62.17,14.85,1014,2021-10-16,1634417470
224,Quatre Cocos,MU,-20.2078,57.7625,16,71,73.51,14.54,1019,2021-10-16,1634417470
225,Deputatsky,RU,69.3,139.9,100,100,-8.34,1.86,1025,2021-10-16,1634417471
226,Mossamedes,AO,-15.1961,12.1522,17,86,63.68,3.27,1012,2021-10-16,1634417471
227,Vila Velha,BR,-20.3297,-40.2925,40,83,78.75,19.57,1013,2021-10-16,1634417191
228,Pangnirtung,CA,66.1451,-65.7125,0,62,30.2,5.41,1027,2021-10-16,1634417472
229,Torbay,CA,47.6666,-52.7314,90,95,45.57,19.57,1006,2021-10-16,1634417472
230,Níjar,ES,36.9665,-2.206,0,83,65.84,8.05,1017,2021-10-16,1634417472
231,Kuril'sk,RU,45.2333,147.8833,100,92,51.67,20.92,1002,2021-10-16,1634417472
232,Ilulissat,GL,69.2167,-51.1,6,36,24.82,4.61,1024,2021-10-16,1634417398
233,Santiago del Estero,AR,-27.7951,-64.2615,1,23,74.8,6.22,1015,2021-10-16,1634417473
234,Tsiroanomandidy,MG,-18.7667,46.0333,52,50,71.31,8.3,1015,2021-10-16,1634417473
235,San José de Río Tinto,HN,14.9333,-85.7,75,80,96.37,3.53,1011,2021-10-16,1634417474
236,Shimoda,JP,34.6667,138.95,60,86,70.11,14.25,1007,2021-10-16,1634417474
237,Bambous Virieux,MU,-20.3428,57.7575,40,68,73.65,13.8,1020,2021-10-16,1634417474
238,Margate,GB,51.3813,1.3862,100,82,56.91,12.8,1020,2021-10-16,1634417475
239,Bethel,US,41.3712,-73.414,19,77,74.48,1.01,1001,2021-10-16,1634417475
240,Kaitangata,NZ,-46.2817,169.8464,62,53,57.97,6.8,997,2021-10-16,1634417475
241,Shingū,JP,33.7333,135.9833,100,70,64.85,7.92,1011,2021-10-16,1634417475
242,Raudeberg,NO,61.9875,5.1352,87,56,39.87,7.02,1011,2021-10-16,1634417476
243,Rumphi,MW,-11.0186,33.8575,85,45,76.26,4.38,1010,2021-10-16,1634417476
244,Alexandria,EG,31.2156,29.9553,0,69,75.16,10.36,1017,2021-10-16,1634417368
245,Tautira,PF,-17.7333,-149.15,19,78,87.82,22.15,1018,2021-10-16,1634417476
246,Flinders,AU,-34.5833,150.8552,0,71,59.05,1.99,1008,2021-10-16,1634417477
247,Maragogi,BR,-9.0122,-35.2225,33,84,77.38,10.49,1014,2021-10-16,1634417477
248,Lucea,JM,18.451,-78.1736,63,68,87.85,3.78,1011,2021-10-16,1634417477
249,Gornopravdinsk,RU,60.05,69.9,100,89,44.4,7.29,1017,2021-10-16,1634417478
250,Mount Isa,AU,-20.7333,139.5,0,47,56.97,0.0,1013,2021-10-16,1634417478
251,Angleton,US,29.1694,-95.4319,1,39,76.17,14.97,1023,2021-10-16,1634417479
252,Lüderitz,NA,-26.6481,15.1594,37,60,56.28,26.04,1018,2021-10-16,1634417479
253,Kalmunai,LK,7.4167,81.8167,98,67,80.56,6.15,1004,2021-10-16,1634417479
254,Aitape,PG,-3.1374,142.3475,99,85,79.14,4.63,1012,2021-10-16,1634417480
255,Ulverstone,AU,-41.15,146.1667,100,60,56.19,1.01,1017,2021-10-16,1634417480
256,Babu,CN,24.4167,111.5167,50,87,57.09,6.93,1024,2021-10-16,1634417480
257,Pankrushikha,RU,53.8319,80.3406,49,70,36.32,3.74,1025,2021-10-16,1634417481
258,Evanston,US,42.0411,-87.6901,20,39,61.14,5.99,1016,2021-10-16,1634417481
259,Crotone,IT,39.0851,17.1178,100,65,51.93,7.27,1017,2021-10-16,1634417481
260,Cauquenes,CL,-35.9671,-72.3225,100,46,63.43,11.48,1022,2021-10-16,1634417276
261,Maţāy,EG,28.419,30.7792,83,32,79.9,12.73,1016,2021-10-16,1634417481
262,Weligama,LK,5.9667,80.4167,91,86,78.6,14.79,1006,2021-10-16,1634417482
263,Inhambane,MZ,-23.865,35.3833,0,87,76.46,14.25,1008,2021-10-16,1634417482
264,Porto Franco,BR,-6.3383,-47.3992,100,38,88.63,2.51,1007,2021-10-16,1634417482
265,Uvalde,US,29.3669,-99.767,97,10,75.31,7.74,1024,2021-10-16,1634417483
266,Caucaia,BR,-3.7361,-38.6531,0,74,84.15,11.5,1010,2021-10-16,1634417242
267,Matane,CA,48.8286,-67.522,100,1,56.95,16.91,1007,2021-10-16,1634417483
268,Ban Tak,TH,17.0432,99.0813,100,98,73.38,2.44,1010,2021-10-16,1634417483
269,Kiryat Gat,IL,31.61,34.7642,94,52,72.39,1.83,1016,2021-10-16,1634417484
270,Lázaro Cárdenas,MX,17.9583,-102.2,11,72,85.84,7.61,1010,2021-10-16,1634417484
